repo	state	issue_id	created_at	included	type	themes	exclusion_reason	url	title
microsoft/apm	open	2418	2026-08-01T01:47:56Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2418	[perf-scan] 2026-08-01 -- performance opportunities found
microsoft/apm	open	2415	2026-07-31T13:47:24Z	no	excluded		automated_cli_consistency_report	https://github.com/microsoft/apm/issues/2415	[cli-consistency] CLI Consistency Report -- 2026-07-31
microsoft/apm	open	2413	2026-07-31T09:25:32Z	yes	enhancement			https://github.com/microsoft/apm/issues/2413	[FEATURE] Declarative, deterministic primitive overrides (dependencies.overrides) — distinct from the #739/#1120 namespacing effort
microsoft/apm	open	2408	2026-07-31T03:34:46Z	yes	bug	target_portability		https://github.com/microsoft/apm/issues/2408	Project-scope hook path rewriting produces cwd-dependent commands on Windows (Claude Code target)
microsoft/apm	open	2404	2026-07-31T01:49:00Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2404	[perf-scan] 2026-07-31 -- performance opportunities found
microsoft/apm	open	2402	2026-07-30T16:15:01Z	yes	enhancement	install_update_remove		https://github.com/microsoft/apm/issues/2402	[FEATURE] APM Install Option to foce project level install
microsoft/apm	open	2399	2026-07-30T13:42:13Z	no	excluded		automated_cli_consistency_report	https://github.com/microsoft/apm/issues/2399	[cli-consistency] CLI Consistency Report -- 2026-07-30
microsoft/apm	open	2398	2026-07-30T13:01:11Z	yes	other			https://github.com/microsoft/apm/issues/2398	Extract shared retain/reindex predicate for git auth-config entries (follow-up to #2368)
microsoft/apm	open	2396	2026-07-30T01:51:00Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2396	[perf-scan] 2026-07-30 -- performance opportunities found
microsoft/apm	open	2395	2026-07-29T21:35:28Z	yes	bug	install_update_remove		https://github.com/microsoft/apm/issues/2395	[BUG] Installation fails when multiple OneDrive mounts are detected
microsoft/apm	open	2389	2026-07-29T06:53:09Z	yes	bug	lock_audit_integrity		https://github.com/microsoft/apm/issues/2389	YAML expansion guard rejects legitimate large anchor-free lockfiles
microsoft/apm	open	2386	2026-07-29T01:50:32Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2386	[perf-scan] 2026-07-29 -- performance opportunities found
microsoft/apm	open	2378	2026-07-28T01:49:58Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2378	[perf-scan] 2026-07-28 -- performance opportunities found
microsoft/apm	open	2374	2026-07-27T13:50:33Z	yes	enhancement	target_portability		https://github.com/microsoft/apm/issues/2374	[FEATURE] Ship Claude Code workflow scripts to .claude/workflows/
microsoft/apm	open	2372	2026-07-27T01:47:13Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2372	[perf-scan] 2026-07-27 -- performance opportunities found
microsoft/apm	open	2371	2026-07-26T12:04:48Z	yes	enhancement			https://github.com/microsoft/apm/issues/2371	[FEATURE] skills and agents versioning
microsoft/apm	open	2369	2026-07-26T01:46:35Z	no	excluded		automated_performance_report	https://github.com/microsoft/apm/issues/2369	[perf-scan] 2026-07-26 -- performance opportunities found
microsoft/apm	open	2367	2026-07-25T11:53:05Z	yes	other			https://github.com/microsoft/apm/issues/2367	[aw] PR Review Panel failed
microsoft/apm	open	2355	2026-07-24T14:25:33Z	yes	bug	target_portability		https://github.com/microsoft/apm/issues/2355	[BUG] GIT marketplace source with multipme folder crash
microsoft/apm	open	2353	2026-07-24T09:58:48Z	yes	bug			https://github.com/microsoft/apm/issues/2353	[BUG] `applyTo` multi-glob handling is inconsistent in compile placement analysis
microsoft/apm	open	2346	2026-07-23T18:35:51Z	yes	docs			https://github.com/microsoft/apm/issues/2346	[Documentation] `allow_insecure` discrepancy in `Recommended hardening`
microsoft/apm	open	2341	2026-07-23T08:42:13Z	yes	enhancement			https://github.com/microsoft/apm/issues/2341	[FEATURE] named dependency profiles in apm.yml
microsoft/apm	open	2334	2026-07-22T12:27:40Z	yes	enhancement	lock_audit_integrity		https://github.com/microsoft/apm/issues/2334	Fail closed when CLI is older than lockfile apm_version
microsoft/apm	open	2331	2026-07-21T18:26:37Z	yes	enhancement	lock_audit_integrity		https://github.com/microsoft/apm/issues/2331	Allow SkillSpector --baseline through apm audit external args
microsoft/apm	open	2327	2026-07-21T07:06:59Z	yes	enhancement			https://github.com/microsoft/apm/issues/2327	[FEATURE] Extend the scripts via agent package or even extend the apm cli
microsoft/apm	open	2320	2026-07-19T11:56:25Z	yes	enhancement			https://github.com/microsoft/apm/issues/2320	[FEATURE] Mistral Vibe support
microsoft/apm	open	2319	2026-07-19T11:08:36Z	yes	bug	target_portability		https://github.com/microsoft/apm/issues/2319	[BUG] Consumer-side semver range resolution ignores marketplace's declared `tag_pattern`, hardcodes `{name}--v{version}`
microsoft/apm	open	2315	2026-07-18T13:51:50Z	yes	docs			https://github.com/microsoft/apm/issues/2315	Docs: align v0.25 guide on UTF-8, experimental apm run, and LSP overview
microsoft/apm	open	2282	2026-07-17T10:28:49Z	no	excluded		external_listing_solicitation	https://github.com/microsoft/apm/issues/2282	Your project is on StackMap — a curated map of the AI stack
microsoft/apm	open	2270	2026-07-16T23:54:40Z	yes	docs	install_update_remove		https://github.com/microsoft/apm/issues/2270	Formalize a spec requirement for uninstall reachability preservation (req-lk-0XX)
microsoft/apm	open	2261	2026-07-16T15:06:49Z	yes	enhancement	target_portability		https://github.com/microsoft/apm/issues/2261	[FEATURE] Per-file target declaration so filename-based hook routing can be retired
microsoft/apm	open	2248	2026-07-16T10:24:49Z	yes	enhancement	target_portability		https://github.com/microsoft/apm/issues/2248	[FEATURE] `apm validate` / test harness for user packages (hooks, instructions, skills)
